id,editor,starring,title,writer
6785,,Eugenie Besserer George Bancroft (actor) Richard Arlen William Phillips Vina Fay Wray,,Herman Mankiewicz Charles Furthman Jules Furthman
6786,,Ben Oxenbould Jeremy Larsson Martin Lewis (actor) Rebecca Rigg,,Bob Ellis
6787,,Clarence Kolb,,Alfred Santell
6788,,Pierre-Richard Maurice Charles Lu00E9opold Defays Anny Duperey Gu00E9rard Xavier Marcel Depardieu,,Francis Veber
6789,,Jean-Claude Camille Franu00E7ois Van Varenberg Kieran Culkin Rosanna Lauren Arquette,Nowhere to Run,
6790,,"Pijaya Vachajitpan
Donlaya Mudcha",The Tin Mine,Ajin Panjapan
6791,,Frederic Enrico Rossovich Elliott Goldstein Corbin Bernsen Courtney Taylor Paul Anthony Sorvino Stephen Nichols,,Steve Johnson
6792,,James Harrison Coburn Jr. Virginia Madsen Millicent Fogel Alexandra Holden,American Gun,Alan Jacobs
6793,,Michael Callan Edward Charles Morrice Fox Wendy Margaret Hiller Daniel Massey (actor) Beatrix Lehmann Wilfrid Hyde White Honor Blackman Peter McEnery Olivia Hussey Carol Lynley,,John Willard (playwright) Radley Metzger
6794,,Freddie Mercury Roger Meddows-Taylor John Deacon Brian May,,
6795,,Sandra Oh Sarah Polley David Paul Cronenberg Don McKellar Callum Keith Rennie,Last Night,Don McKellar
6796,,Colin James Farrell Alfredo James Pacino,Box office number-one movies of 2003 (USA) The Recruit,Roger Towne Kurt Wimmer Mitch Glazer
6797,,#Cast,,Peter Sauder John Halfpenny
6798,,Ronald Francis Perlman Sophia Myles James Patrick Caviezel John Vincent Hurt,Outlander,"Dirk Blackman
Howard McCain"
6799,,Amjad Khan Zeenat Aman Raakhee Gulzar Amitabh Bachchan,,Prakash Mehra Kader Khan Shashi Bhushan Din Dayal Sharma
6800,,Betty Joan Perske Eldred Gregory Peck Dolores Gray,Designing Woman,George Wells
6801,,Myrna Adele Williams William Horatio Powell,Song of the Thin Man,
6802,,Harihar Jariwala Ashok Kumar,,Hrishikesh Mukherjee
6803,,Michelle Johnson (actress) Michael Caine Demetria Gene Guynes Joseph Bologna Valerie Harper,Blame it on Rio,Charlie Peters Larry Simon Gelbart
6804,,Raghav Ranganathan Monika,,
6805,,Reginald Carey Harrison Monetta Eloyse Darnell Rudy Vallee,Unfaithfully Yours,Preston Sturges
6806,,Margot Louise Hemingway Raf Mauro Pam Huntington Johnny Yune,They Call Me Bruce?,Tim Clawson
6807,,Hrithik Roshan Amisha Patel,,"Robin Bhatt (story)
Girish Dhamija (dialogue)
Sanjeev Duggal (story)"
6808,,Kurt Vogel Russell,"Now You See Him, Now You Don't",Joseph L. McEveety
6809,,Richard Pryor,,Richard Pryor
6810,,Hrithik Roshan Rani Mukherjee Kareena Kapoor,Mujhse Dosti Karoge,Kunal Kohli Aditya Chopra
6811,,Roscoe Arbuckle,The Woman Haters,
6812,,Anthony Perry Nick Cheung Lam Suet Simon Yam Ng Chi-Keung (u5433u5FD7u5F37) Roy Cheung,,Milkyway Image (HK) Ltd.#Milkyway Creative Team Yip Tin-Shing Szeto Kam-Yuen
6813,,Chris Eigeman Jenny McCarthy,,Matthew Miller
6814,,John Vincent Hurt William Hurt,,David Cook
6815,,"James Black
Suzanne Savoy
Marco Perella
James Belcher",,Michael Hovis
6816,,,A Canu00E7u00E3o da Primavera,Aníbal Matos
6817,,Geneviève Picot Hugo Wallace Weaving Russell Ira Crowe,Proof,Jocelyn Moorhouse
6818,,Alexander Martin Clunes Samuel Alexander Joseph West,,John Sullivan (writer)
6819,,Daniel Edward Aykroyd John Franklin Candy Annette Carol Bening,,John Hughes (film director)
6820,,Frank Hayes (actor) Charles Chaplin Fritz Schade Mack Swain Charley Chase Cecile Arnold,His Musical Career,
6821,,Shemar Franklin Moore Morris Chestnut Bill Bellamy D.L. Hughley,,Gary Hardwick
6822,,Norma Bengell Glória Menezes,Keeper of Promises Palme d'Or,Anselmo Duarte Dias Gomes
6823,,Jamshad Renuka Menon,,
6824,,Shahrukh Khan Juhi Chawla Aditya Pancholi,,Aziz Mirza Mangesh Kilkarni Sanjay Chel
6825,,Joan Ann Plowright Glenn Close James Hugh Calum Laurie Joely Kim Richardson Jeff Daniels (actor),101 Dalmatians,John Hughes (film director)
6826,,Christopher De Leon Visitacion Parado,Kamakalawa,Eddie Romero
6827,,Abhi Bhattarcharya Satindra Bhattacharya Madhabi Mukherjee Rambilas Indrani Chakrabarty Sriman Tarun Bijon Bhattacharya,,Ritwik Ghatak Radheshyam Jhunjhunwala
6828,,Konidela Siva Sankara Vara Prasad Bhanupriya Nagendra Babu Kaikala Satyanarayana Ranganath,,A. Kodandarami Reddy
6829,,U?ur Yücel Ye?im Salk?m Sermin ?en ?ener ?en,,Yavuz Turgul
6830,,Liz Renay Edith Massey Nancy Stoll Mary Vivian Pearce,Desperate Living,"John Samuel Waters, Jr."
6831,,Allan Gildea Gerard Crossan James Nesbitt,Berlin International Film Festival Bloody Sunday,Paul Greengrass
6832,,Toshir? Mifune Takashi Shimura,Stray Dog,Akira Kurosawa Ryuzo Kikushima
6833,,Kenneth Charles Branagh Melanie Richards Griffith Charlize Theron Judy Davis Leonardo Wilhelm DiCaprio Winona Laura Horowitz,Celebrity,Woody Allen
6834,,Frederick Austerlitz Jr. Anthony Perkins Eldred Gregory Peck Ava Lavinia Gardner,,"Nevil Shute (novel)
John Paxton"
6835,,Helena Bonham Carter William Bradley Pitt,Fight Club,Chuck Palahniuk
6836,,Waldo Bruce Donlevy Cornel Wilde Jean Wallace Richard Conte,The Big Combo,Philip Yordan
6837,,John Spaceley,Story of a Junkie,
6838,,Geraldine McKeown Robert Lang Laurence Kerr Olivier,,August Strindberg
6839,,Pavel Kadochnikov Sergey Martinson,,Konstantin Isayev Mikhail Maklyarsky Mikhail Blajman
6840,,William Campbell (film actor),Blood Bath,"Jack Hill
Stephanie Rothman"
6841,,K?tar? Satomi Katsuya Kobayashi SAYAKA Tomohisa Yuge Sh?ei Asahi Uchida Emi Wakui,,
6842,,Matthew Dyktynski Matt Day Alice Garner Frances O'Connor Kym Gyngell Radha Mitchell,Love and Other Catastrophes,Emma-Kate Croghan Yael Bergman Stavros Kazantzidis Helen Bandis
6843,,Aoi Miyazaki Kôji Yakusho Masaru Miyazaki Yoichiro Saito,Eureka,Shinji Aoyama
6844,,River Jude Bottom Lili Taylor,,Bob Comfort
6845,,Fumihiko Tachiki Mirai Sasaki Mayumi Iizuka Noriko Hidaka Hiroaki Hori,,Chiaki J. Konaka
6846,,Eric Deulen John Robinson (American actor) Alex Frost,Elephant Palme d'Or,Gus Van Sant Jr.
6847,,Matthew Broderick Alexandra Elizabeth Sheedy John Wood (English actor),,Walter Fishman Lawrence Lasker
6848,,Ronald Reagan Ruby Catherine Stevens,,Robert Blees
6849,,Jelena Ðoki? Andrija Miloševi?,,Milica Piletiu0107
6850,,,u00CAtre aimu00E9 pour soi-mu00EAme,
6851,,"Cesar Julio Romero, Jr. Elsa Martinelli",Madigan's Millions,José Luis Bayonas
6852,,Stuart Whitman John H. Lebzelter James Scott Bumgarner,Darby's Rangers,Guy Trosper
6853,,,Battles Without Honor and Humanity 5: Final Episode,Kazuo Kasahara Koichi Iiboshi
6854,,Rolfe Sedan Vera Lewis William Bakewell Dorothy Revier Belle Bennett Douglas Elton Thomas Ullman Marguerite De La Motte,The Iron Mask,"Alexandre Dumas, père Douglas Elton Thomas Ullman Jack Cunningham (screenwriter)"
6855,,Toshir? Mifune Takashi Shimura,Shizukanaru ketto,Senkichi Taniguchi
6856,,Jean Shirley Verhagen Farley Earle Granger II Ann Steely James Meador,Side Street,Sydney Boehm
6857,,J.C. Quinn Ivan Simon Cary Elwes Robert Selden Duvall Thomas Cruise Mapother IV Randall Rudy Quaid Michael Rooker Nicole Mary Kidman,Days of Thunder,Robert Towne
6858,,"Wallace Fitzgerald Beery Irene Rich John Cooper, Jr.",The Champ,Frances Marion Leonard Praskins
6859,,Louise Lasser Lonny Chapman Allen Stewart Ku00F6nigsberg Jackson Beck James Anderson (actor) Janet Margolin Marcel Hillaire,Take the Money and Run,Allen Stewart Ku00F6nigsberg Mickey Rose
6860,,Elisha Cook Jr. Lu00E1szlu00F3 Lu00F6wenstein John McGuire,Stranger on the Third Floor,Nathanael West Frank Partos
6861,,Harold Lloyd,Stop! Luke! Listen!,
6862,,Wesley Eure Cameron Mitchell Pamelyn Ferdin,,Ann N. Kindberg Robert Easter
6863,,"Belu00E9n Blanco
Marcela Guerty",,Esteban Sapir
6864,,Kamal Haasan,,
6865,,Christopher Anton Knight Brooke Christa Camille Shields Burle Icle Ivanhoe Ives Ray Bolger Nathan Birnbaum,"Just You and Me, Kid","Oliver Hailey
Tom Lazarus
Leonard Stern"
6866,,Kelly Colleen Lynch Lyndsy Fonseca Jeremy Robert Myron Sumpter,Cyber Seduction: His Secret Life,Wesley Bishop Richard Kletter
6867,,Oliver Hardy,The Joke's on You,Ralph Ceder
6868,,,The Truce,Mario Benedetti
6869,,Hideaki Nitani Toru Abe Shinsuke Ashida Kiroshi Kondo Kaku Takashina Michitaro Mizushima Mari Shiraki,Underworld Beauty,Susumu Saji
6870,,Marianne Raigipcien Jean-Baptiste Andrew Lee Potts Anastasia Hille Winfred Jacqueline Fraser-Bisset,,Ralph Brown
6871,,Orly Silbersatz Banai Maya Maron Nitai Gaviratz,Broken Wings,Nir Bergman
6872,,Urvasi Nedumudi Venu Mohanlal Viswanathan Nair Lakshmi (actress),,Lohithadas
6873,,Michael Welch Amber Heard Aaron Himelstein Anson Adams Mount IV Melissa Price,All the Boys Love Mandy Lane,Jacob Forman
6874,,Dorothy Dalton,Fool's Paradise,"Sada Cowan
Beulah Marie Dix
Leonard Merrick"
6875,,Jacques Tati,Play Time,Jacques Tati
6876,,,Baraka,Constantine Nicholas Genevieve Nicholas
6877,,Tarance Edwards Connie Young Wally Joyner Michael Birkeland William Swenson Zak Aldridge Erin Chambers Lincoln Hoppe Kirby Heyborne Daryn Tufts,,"John Moyer (comedian, screenwriter) Kurt Hale"
6878,,Rajnikanth Sripriya Suman,,
6879,,Yoshiyuki Morishita Jun Murakami Yumi Asou Ayaka Maeda Tetsu Sawaki Kanako Fukaura Ken Mitsuishi,Border Line,Hajime Matsura Sang-il Lee
6880,,Hoot Gibson,The Jay Bird,Jack Jevne
6881,,Kiron Kher Amrish Lal Puri Rajit Kapur Surekha Sikri,Sardari Begum,Khalid Mohammed Shama Zaidi
6882,,Vijayashanti Kamal Haasan Jayalalitha,,
6883,,"Cloris Leachman Harvey Herschel Korman Stephen W. Burns Elyssa Davalos John Vernon Alex Rocco Joaquin Garay, III Charles Martin Smith Richard Jaeckel",Herbie Goes Bananas,Don Tait Gordon Buford
6884,,Lidia Liss Álvaro Escobar Elena Guido,La Chica de la calle Florida,José A. Ferreyra
6885,,Oskar Homolka Barbara Bel Geddes Ellen Hansen Irene Marie Dunn,,DeWitt Bodeen Kathryn Forbes John Van Druten
6886,,Phoebe Legere Lisa Gaye,,Michael Herz (producer) Lloyd Kaufman
6887,,Salman Khan Rajeev Verma Alok Nath Reema Lagoo Laxmikant Berde Mohnish Behl Ajit Vachani Bhagyashree Pervin Dastur,Filmfare Best Movie Award,Sooraj R. Barjatya SM Ahale
6888,,Alan Webb Peter McEnery Harry Fleetwood Andrews Beryl Reid,Entertaining Mr Sloane,Joe Orton Clive Exton
6889,,Isabelle Huppert Benoît Magimel,Grand Prix (Cannes Film Festival) The Piano Teacher,"Michael Haneke, from the novel Die Klavierspielerin by Elfriede Jelinek"
6890,,Vera Ann Farmiga Dallas Roberts Jacob Kogan Sam Rockwell Michael McKean Celia Weston,Joshua,"George Ratliff
David Gilbert"
6891,,The Pennsylvanians Richard Ewing Powell Clarence Ernst Nash,Varsity Show,Reichard Macaulay Sig Herzig Jerome Irving Wald Warren Duff
6892,,David Cross Robert Picardo Kirsten Caroline Dunst Jay Mohr Dick Miller Ann Magnuson Philip Edward Hartmann Wendy Schaal Gregory Edward Smith Jacob Smith Kevin Dunn Denis Leary,Small Soldiers,Gavin Scott (Screenwriter) Adam Rifkin
6893,,Ricky Nelson John Uhler Lemmon III,,Herbert Carlson
6894,,Chayanne Joan Ann Plowright Jane Krajkowski Vanessa L. Williams Kristoffer Kristofferson,Dance With Me,Daryl Matthews
6895,,Clayton Rohner,Sometimes They Come Backu2026 for More,
6896,,Kamal al-Shennawi Faten Ahmed Hamama Ismail Yasseen Ezzel Dine Zulficar,,Ezzel Dine Zulficar
6897,,"u9673u7389u84EE
Chan Yuk-Lin Elvis Tsui Shen Chan Lung Wei Wang Hoi-Shan Kwan Cheng Chong-sai (u912Du5275u4E16) Chia Hui Liu Hoi San Lee",,
6898,,Tiffany Shepis Charles Richard Moll Blythe Metz,Nightmare Man,Rolfe Kanefsky
6899,,Kenny Richards David John Nicole Windsor Jennifer Caroline Lynn Veronica Fairhurst Amanda Elizabeth,,
6900,,Michel Piccoli Georges Marchal Simone Henriette Charlotte Kaminker Charles Vanel,La mort en ce jardin,Gabriel Arout Luis Alcoriza Luis Buñuel
6901,,Leslie Louise Bibb Dylan Baker Brian Cox Anna Helene Paquin Tahmoh Penikett Rochelle Aytes,Trick 'r Treat,Michael Dougherty
6902,,"Simon Callow Sophie Okonedo Tommy Davidson Robert Patrick Gunton, Jr. Ian McNeice James Eugene Carrey",Ace Ventura: When Nature Calls,"Jack Bernstein (characters)
Steve Oedekerk"
6903,,Betty Loh Tih Ivy Ling,,Li Han-Hsiang
6904,,Amy Marie Yasbeck Todd Waring,"Splash, Too",
6905,,"Jeanne Elizabeth Crain Gene Eliza Tierney Vincent Leonard Price, Jr. Cornel Wilde",Leave Her to Heaven,Ben Ames Williams Jo Swerling
6906,,Melvin Wong Xiu00E0 Lu00ECng-Zhu00E8ng Cynthia Rothrock Wu Ma Corey Yuen Roy Chiao,Righting Wrongs,Chuek-Hon Szeto Barry Wong
6907,,Geoffrey Roy Rush Goldie Jean Studlendgehawn Susan Abigail Tomalin,The Banger Sisters,Bob Dolman
6908,,"Ricky Jay Rodrigo Junqueira dos Reis Timothy Alan Dick Emily Mortimer Joseph Anthony Mantegna, Jr. Alice Braga Rebecca Pidgeon Chiwetel Ejiofor",Redbelt,David Mamet
6909,,Gladys Fairbanks Gladys Louise Smith Charles Wellesley(actor) Madlaine Traverse,The Poor Little Rich Girl,Frances Marion
6910,,Wild Bill Elliott Frank Johnson Dickie Jones Monte Blue Carole Wayne,Serial (film) Columbia Pictures,John Peere Miles Dallas M. Fitzgerald George Rosener George Arthur Durlam Charles Arthur Powell Tom Gibson
6911,,Roscoe Arbuckle,The Under-Sheriff,
6912,,"Kong Sophy, Mom Soth, Chorn Torn",The Last Days of Colonel Savath,Norodom Sihanouk
6913,,Arthur Stanley Jefferson Don Dillaway Oliver Hardy,Pack Up Your Troubles,H.M. Walker
6914,,Jonathan K. Favreau Greta Lind Sean Patrick Duke Scott Benjaminson Charles Stanley Dutton Ned Thomas Beatty Mary Ann Thebus,Rudy,Angelo Pizzo
6915,,Joel Solomon Cohen Kenneth Charles Williams Jim Dale,Carry On Cowboy,Talbot Rothwell
6916,,Wallace Fitzgerald Beery,The Man From Dakota,MacKinlay Kantor
6917,,Anne Ryan Thomas Amanda Donohoe PG-13 Ivan Simon Cary Elwes Jennifer E. Chan Swoosie Kurtz Maura Lynn Tierney Justin Cooper James Eugene Carrey,Liar Liar,"Paul Guay
Stephen Mazur"
6918,,Anjelica Huston Fionnula Flanagan Nigel Davenport John Vincent Hurt Pamela Franklin,,James R. Webb David Haggart
6919,,Steffi Duna Mary Elizabeth Riggs Lucille Du00E9siru00E9e Ball,Panama Lady,Garrett Fort Michael Kanin
6920,,Arthur Christopher Orme Plummer Sergo Zakariadze Dan O'Herlihy Rodney Stephen Steiger Terence Alexander George Orson Welles John Edward Hawkins Virginia McKenna Yevgeny Samoilov,Waterloo,H.A.L. Craig Sergei Fyodorovich Bondarchuk Vittori Bonicelli
6921,,Jake Fisher Nicholas Torres Tyler Odom Gabe Renfroe,,
6922,,Alf Kjellin Doris Svedlund Inga Tidblad,Divorced,Ernst Ingmar Bergman
6923,,Ahmad Nisfu Teuku Zakaria Sarimah Ahmad,,Teuku Zakaria
6924,,Arthur Edmund Carewe Charles Judels Frank Fay Rose Joan Blondell Billy House Louise Brooks John T. Murray Margaret Livingston Tyrell Davis Laura La Plant Charles Winninger Alan Mowbray Yola d'Avril Sisters G,,Frederick Hazlitt Brennan Jane Hinton Joseph Jackson Raymond Griffith
6925,,Catherine Fabienne Dorlu00E9ac Sandrine Bonnaire Oleg Menshikov,,Rustam Mammad Ibrahim oglu Ibrahimbeyov Sergei Bodrov
6926,,George Ranft Constance Cummings,Night After Night,"Louis Bromfield
Kathryn Scola"
6927,,Jonny Goold Connor Synder Geneve Rupert Leigh G. Miller Chris McGurrin Andy Weiss Bruce Tenenbaum Damon Schoeffler,,Linda Shayne
6928,,Henry DeWitt Carey II,The Canceled Mortgage,
6929,,Ariel Besse Patrick Dewaere Maurice Ronet,Beau-pu00E8re,
6930,,Eric Harry Timothy Mabius Devon Ryan Gummersall Frederick Reginald Ironside Derek Richardson,Reeker,Dave Payne
6931,,Richard St.  John Harris,,Dorothy M. Johnson Jack DeWitt
6932,,Fakher Fakher Faten Ahmed Hamama Youssef Wahbi Abdel Alim Khattab,,Youssef Wahbi
6933,,Arthur Stanley Jefferson,Smithy,H. M. Walker
6934,,Myron Healey Tsuruko Kobayashi Kôzô Nomura Ayumi Sonoda Fumito Matsuo,,Sid Harris Ken Kuronuma Shinichi Sekizawa
6935,,Cicely Tyson Richard Pryor,,Lonne Elder III Roger L. Simon Richard Pryor
6936,,Bob Donner Leslie William Nielsen Brian Banowetz,Bad Golf My Way,
6937,,"John Phillip Law, Cameron Mitchell, Richard Moll, Marc Lawrence",,Philip Yordan
6938,,Jitsuko Yoshimura Koji Takahashi Tetsuro Tanba Mutsuhiro Toura,Samurai Spy,Koji Nakada Yoshiyuki Fukuda
6939,,Julie Davis Jeff Cesario Julie Bowen Luetkemeyer Nick Chinlund,,Julie Davis
6940,,Pierce Brendan Brosnan William John Neeson Anjelica Huston,Seraphim Falls,Abby Everett Jaques
6941,,Gregory Edward Smith Chris Morris,Kids in America,Andrew Shaifer Josh Stolberg
6942,,Danny Green (actor) Cecil Parker Jack Warner Herbert Charles Angelo Kuchacevich ze Schluderpacheru Katie Johnson Alec Guiness Richard Henry Sellers,The Ladykillers,William Rose (screenwriter)
6943,,Vivian Mary Hartley Flora McKenzie Robson Leslie Banks Laurence Kerr Olivier,,A.E.W. Mason Clemence Dane Sergei Nolbandov
6944,,,Terrorister - en film om dom du00F6mda,
6945,,,,Jean Vigo
6946,,Sela Ann Ward Thomas Jeffrey Hanks Eva Marie Saint Herbert John Gleason,Nothing in Common,Michael Preminger Rick Podell
6947,,Me Me Lai,,"Giorgio Carlo Rossi 
Renzo Genta 
Gianfranco Clerici 
Tito Carpi"
6948,,Kochakorn Suppakarnkitjakul Rungrawan Tonahongsa Nahatai Lekbumrung Adisorn Insee Panisa Buacharoen,Noo Hin: The Movie,Kongdej Jaturanrasamee
6949,,George Segal Denholm Mitchell Elliott Thomas Daniel Courtenay William Fox Patrick O'Neal,King Rat,Bryan Forbes James Clavell
6950,,Eli Wallach Issur Danielovitch Charles Durning Burton Stephen Lancaster Dana Thomas Carvey,Tough Guys,James Cruikshank James Orr
6951,,Michelle Nicastro Douglas Sills,,Richard Rich
6952,,"Owen Moore James Kirkwood, Sr.",The Red Man's View,Frank E. Woods
6953,,Heather Deeley Chris Chittell Mary Quilter,,Jon York
6954,,Frederick Austerlitz Jr. Marjorie Reynolds Harry Lillis Crosby,Holiday Inn,"Irving Berlin (idea)
Elmer Rice (adaptation)
Claude Binyon (screenplay)"
6955,,Richard Anthony Leming Donald Henry Pleasence Charles Cyphers Nancy Loomis Jamie Lee Curtis,Halloween II,John Howard Carpenter
6956,,Ali Rajiv Kanakala Narsing Yadav Allari Naresh,,Vara Mullapudi
6957,,Waweru Njenga Jonathan Niven Cryer Lynn Redgrave JD Cullum Robert Sedgwick,Morgan Stewart's Coming Home,David N. Titcher Ken Hixon
6958,,Leslie Townes Hope Lucille Du00E9siru00E9e Ball,,Edmund L. Hartmann Harry Leon Wilson Robert O'Brien
6959,,Harry Carey,McVeagh of the South Seas,Harry Carey
6960,,Andrew McCarthy Terry Kiser Jonathan Silverman,,Robert Klane
6961,,Duncan Lamont Anna Magnani,The Golden Coach,
6962,,Jennifer Beals Michael Nouri,,Joe Eszterhas Tom Hedley
6963,,Alicia Roanne Witt Lilliane Rudabet Gloria Elsveta Sobieski Neal McDonough Deborah Kara Unger Amy Frederica Brenneman Benjamin McKenzie Schenkkan Alfredo James Pacino,,Gary Scott Thompson
6964,,"Gol-Ghotai
Zahed",Stray Dogs,Marzieh Meshkini
6965,,Hilary Duff Stephen Glenn Martin Bonnie Lynn Hunt Alyson Rae Stoner Eugene Levy Thomas John Patrick Welling Tara Leigh Patrick,Cheaper by the Dozen 2,
6966,,"Bob Dylan Louis Burton (Bert) Lindley, Jr. Jason Nelson Robards Jr. James Harrison Coburn Jr. Kristoffer Kristofferson",Pat Garrett and Billy the Kid,Rudy Wurlitzer
6967,,Bill Nunn Kimila Ann Basinger Patrick Ryan O'Neal Robert Klein Richard Schiff Elizabeth Tu00E9a Pantaleoni Alfredo James Pacino,People I Know,Jon Robin Baitz
6968,,Sam Hui Karl Maka,Aces Go Places 2,Wong Bak-ming Wong
6969,,"Brandon Routh
Richard Donner
Ilya Salkind",,Steven Smith
6970,,Merrill Dodge Tracy Ann Evans Britani Bateman Michael Birkeland Maren Ord William Swenson Kirby Heyborne Daryn Tufts,The R.M.,"Kurt Hale,
 John E. Moyer"
6971,,George Nichols (actor),The Turn in the Road,King Wallis Vidor
6972,,Angelo Rossitto Warner Richmond Shirley Mills,Child Bride,
6973,,James Stewart (actor) Laura Augusta Gainor Robert Taylor,Small Town Girl,
6974,,Claudia Cardinale Pietro Germi,Tre straniere a Roma,Carlo Emilio Gadda Ennio De Concini
6975,,George Eastman (actor) Tisa Farrow,The Anthropophagus Beast,George Eastman (actor) Joe d'Amato
6976,,Piphat Apiraktanakorn Jaa Panom Yeerum Pumwaree Yodkamol,The Bodyguard,Petchtai Wongkamlao
6977,,Rachel Weisz Hugh Michael Jackman Edna Rae Gillooly,The Fountain,"Story:
Darren Aronofsky
Ari Handel
Screenplay:
Darren Aronofsky"
6978,,Aftab Shivdasani Gulshan Grover Ishrat Ali Manisha B. Koirala Divya Dutta Snehal Dabi Chunky Pandey,,
6979,,David James Arquette Drew Blyth Barrymore James Harvey Kennedy Bryan Ray Trout W. Earl Brown Joseph Whipp Neve Adrianne Campbell Matthew Lillard Isaac Liev Schreiber Rose Arianna McGowan Courteney Bass Cox,Scream,Kevin Williamson
6980,,"Dave Irwin
Ellery Moore
Joe Paterno
Danny Studer",,Kenneth A. Carlson
6981,,Marina de Tavira Arturo Barba Pedro Izquierdo Alejandra Gollás,,
6982,,Peter Cookson Warren William Krech,,"Dennis Cooper
Alfred Zeisler"
6983,,Ali Mamta Mohandas Mohan Babu Nandamuri Taraka Rama Rao Navaneet Kaur Priyamani,,S.S. Rajamouli
6984,,Carlos Larrañaga Jesús Franco,El extrau00F1o viaje,Manuel Ruiz Castillo Pedro Beltrán
